trial,seed,analysis,operator,sigma_r,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
13,55,score_uncertainty,geometric,0.05,0.9161745485942561,0.7699115044247787,0.0149723621770943,0.0,0.8351834860346042
13,55,score_uncertainty,geometric,0.1,0.8366637994164369,0.6,0.044291882278885475,0.0,0.8645030061363954
13,55,score_uncertainty,geometric,0.2,0.7070136923173244,0.4084507042253521,0.06469965219120455,0.0,0.8849107760487145
13,55,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7427381030589824
13,55,score_uncertainty,min,0.02,0.9722351959966637,0.9230769230769231,0.00296092330690767,0.0,0.74569902636589
13,55,score_uncertainty,min,0.05,0.9298487021680701,0.8691588785046729,0.0034674211424464696,0.0,0.7462055242014288
13,55,score_uncertainty,min,0.1,0.8565537713252618,0.7241379310344828,0.019295543763337974,0.0,0.7620336468223203
13,55,score_uncertainty,min,0.2,0.7573390566019575,0.5873015873015873,0.03109569433159276,0.0,0.7738337973905751
14,56,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.05,0.8577357289007627
14,56,score_uncertainty,linear,0.02,0.9441081081081082,0.8348623853211009,0.007232959523900351,0.09,0.864968688424663
14,56,score_uncertainty,linear,0.05,0.8710864461232332,0.6528925619834711,0.034809773529117405,0.16,0.8925455024298801
14,56,score_uncertainty,linear,0.1,0.7343596419303338,0.5267175572519084,0.05567229687231501,0.15,0.9134080257730777
14,56,score_uncertainty,linear,0.2,0.541506013475914,0.3986013986013986,0.07616521032740575,0.0,0.9339009392281684
14,56,score_uncertainty,geometric,0.0,0.9999999999999999,1.0,0.0,0.0,0.8257025902093877
14,56,score_uncertainty,geometric,0.02,0.9652846925245754,0.8867924528301887,-0.002181082050710881,0.0,0.8235215081586769
14,56,score_uncertainty,geometric,0.05,0.9184013399105329,0.7094017094017094,0.01202308577190725,0.0,0.837725675981295
14,56,score_uncertainty,geometric,0.1,0.8310239438580167,0.6949152542372882,0.03808585706767098,0.0,0.8637884472770587
14,56,score_uncertainty,geometric,0.2,0.6977694508325837,0.4925373134328358,0.0770556760437715,0.0,0.9027582662531592
14,56,score_uncertainty,min,0.0,0.9999999999999999,1.0,0.0,0.0,0.7492008523803064
14,56,score_uncertainty,min,0.02,0.9735850055309399,0.9607843137254902,-0.003380867242096408,0.0,0.74581998513821
14,56,score_uncertainty,min,0.05,0.9351615323075663,0.8518518518518519,0.004283297642618034,0.0,0.7534841500229245
14,56,score_uncertainty,min,0.1,0.8589545712285995,0.6949152542372882,0.022876174339137134,0.0,0.7720770267194436
14,56,score_uncertainty,min,0.2,0.7486501784776766,0.5037593984962406,0.03853461575076045,0.0,0.7877354681310669
15,57,score_uncertainty,linear,0.0,1.0,1.0,0.0,0.04,0.8531773367157659
15,57,score_uncertainty,linear,0.02,0.9465254719979437,0.8691588785046729,0.00847791322919289,0.05,0.8616552499449588
15,57,score_uncertainty,linear,0.05,0.8704417782468952,0.6666666666666666,0.025131793796479673,0.1,0.8783091305122456
15,57,score_uncertainty,linear,0.1,0.7443096321530497,0.5503875968992248,0.04529638478676856,0.09,0.8984737215025345
