trial,seed,analysis,operator,lambda,kendall_tau,jaccard_top_k,delta_r_bar,policy_violation_rate,predictive_utility
6,48,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.06,0.8601256977831381
6,48,lambda_perturbation,linear,0.775,0.9666946946946947,0.9047619047619048,0.011016857205287445,0.1,0.8711425549884255
6,48,lambda_perturbation,linear,0.8,0.9344944944944945,0.7543859649122807,0.028860407573191638,0.19,0.8889861053563297
6,48,lambda_perturbation,geometric,0.7,0.9657964970809007,0.8867924528301887,-0.014019702121777278,0.0,0.8094495126741171
6,48,lambda_perturbation,geometric,0.725,0.9829274395329439,0.9230769230769231,-0.00868272250040858,0.0,0.8147864922954858
6,48,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8234692147958944
6,48,lambda_perturbation,geometric,0.775,0.9831776480400332,0.9230769230769231,0.0070047184188595235,0.0,0.8304739332147539
6,48,lambda_perturbation,geometric,0.8,0.9659883236030025,0.8691588785046729,0.011622802747309646,0.0,0.8350920175432041
6,48,lambda_perturbation,min,0.7,0.9999999999999999,1.0,0.0,0.0,0.7519180646447081
6,48,lambda_perturbation,min,0.725,0.9999999999999999,1.0,0.0,0.0,0.7519180646447081
6,48,lambda_perturbation,min,0.75,0.9999999999999999,1.0,0.0,0.0,0.7519180646447081
6,48,lambda_perturbation,min,0.775,0.9999999999999999,1.0,0.0,0.0,0.7519180646447081
6,48,lambda_perturbation,min,0.8,0.9999999999999999,1.0,0.0,0.0,0.7519180646447081
7,49,lambda_perturbation,linear,0.7,0.9256376376376377,0.8181818181818182,-0.023004563419901647,0.0,0.8272840245201778
7,49,lambda_perturbation,linear,0.725,0.9643283283283283,0.8691588785046729,-0.01701831133812748,0.0,0.833270276601952
7,49,lambda_perturbation,linear,0.75,1.0,1.0,0.0,0.06,0.8502885879400794
7,49,lambda_perturbation,linear,0.775,0.9657057057057057,0.8348623853211009,0.018337079404904033,0.15,0.8686256673449835
7,49,lambda_perturbation,linear,0.8,0.9342862862862863,0.6949152542372882,0.03433870201811606,0.24,0.8846272899581955
7,49,lambda_perturbation,geometric,0.7,0.9651459549624686,0.9047619047619048,-0.010967659986010347,0.0,0.8052037351869192
7,49,lambda_perturbation,geometric,0.725,0.9827522935779814,0.9607843137254902,-0.0025826785364998495,0.0,0.8135887166364297
7,49,lambda_perturbation,geometric,0.75,0.9999999999999999,1.0,0.0,0.0,0.8161713951729296
7,49,lambda_perturbation,geometric,0.775,0.9835029190992493,0.9230769230769231,0.006987106379217178,0.0,0.8231585015521468
7,49,lambda_perturbation,geometric,0.8,0.9674979149291074,0.8691588785046729,0.010853146076156839,0.0,0.8270245412490864
