sigma_r,top_k,config_id,policy_violation_rate_mean,policy_violation_rate_std,policy_violation_rate_ci_low,policy_violation_rate_ci_high
0.2,30,linear@0.90,0.0,0.0,0.0,0.0
0.2,30,min,0.0,0.0,0.0,0.0
0.2,40,geometric@0.10,0.0,0.0,0.0,0.0
0.2,40,geometric@0.50,0.0,0.0,0.0,0.0
0.2,40,geometric@0.90,0.0,0.0,0.0,0.0
0.2,40,linear@0.10,0.0,0.0,0.0,0.0
0.2,40,linear@0.50,0.0,0.0,0.0,0.0
0.2,40,linear@0.90,0.00030000000000000003,0.004602301726438759,0.0,0.0
0.2,40,min,0.0,0.0,0.0,0.0
0.2,50,geometric@0.10,0.0,0.0,0.0,0.0
0.2,50,geometric@0.50,0.0,0.0,0.0,0.0
0.2,50,geometric@0.90,0.0,0.0,0.0,0.0
0.2,50,linear@0.10,0.0,0.0,0.0,0.0
0.2,50,linear@0.50,0.0,0.0,0.0,0.0
0.2,50,linear@0.90,0.014280000000000001,0.03992086265695264,0.0,0.14049999999999957
0.2,50,min,0.0,0.0,0.0,0.0
0.2,60,geometric@0.10,0.0,0.0,0.0,0.0
0.2,60,geometric@0.50,0.0,0.0,0.0,0.0
0.2,60,geometric@0.90,0.0,0.0,0.0,0.0
0.2,60,linear@0.10,0.0,0.0,0.0,0.0
0.2,60,linear@0.50,0.0,0.0,0.0,0.0
0.2,60,linear@0.90,0.08206666666666664,0.08872642811311846,0.0,0.2837499999999996
0.2,60,min,0.0,0.0,0.0,0.0
0.2,70,geometric@0.10,0.0,0.0,0.0,0.0
0.2,70,geometric@0.50,0.0,0.0,0.0,0.0
0.2,70,geometric@0.90,0.0,0.0,0.0,0.0
0.2,70,linear@0.10,0.0,0.0,0.0,0.0
0.2,70,linear@0.50,0.0,0.0,0.0,0.0
0.2,70,linear@0.90,0.19161428571428568,0.10251921764188542,0.0,0.38607142857142823
0.2,70,min,0.0,0.0,0.0,0.0
0.2,80,geometric@0.10,0.0,0.0,0.0,0.0
0.2,80,geometric@0.50,0.0,0.0,0.0,0.0
0.2,80,geometric@0.90,0.0,0.0,0.0,0.0
0.2,80,linear@0.10,0.0,0.0,0.0,0.0
0.2,80,linear@0.50,0.0,0.0,0.0,0.0
0.2,80,linear@0.90,0.28975,0.09322622285938989,0.0875,0.4625
0.2,80,min,0.0,0.0,0.0,0.0
0.2,90,geometric@0.10,0.0,0.0,0.0,0.0
0.2,90,geometric@0.50,0.0,0.0,0.0,0.0
0.2,90,geometric@0.90,0.0,0.0,0.0,0.0
0.2,90,linear@0.10,0.0,0.0,0.0,0.0
0.2,90,linear@0.50,0.0,0.0,0.0,0.0
0.2,90,linear@0.90,0.36067777777777776,0.07473055692030604,0.1888888888888888,0.4888888888888889
0.2,90,min,0.0,0.0,0.0,0.0
0.2,100,geometric@0.10,0.0,0.0,0.0,0.0
0.2,100,geometric@0.50,0.0,0.0,0.0,0.0
0.2,100,geometric@0.90,0.0,0.0,0.0,0.0
0.2,100,linear@0.10,0.0,0.0,0.0,0.0
0.2,100,linear@0.50,0.0,0.0,0.0,0.0
0.2,100,linear@0.90,0.39658000000000004,0.054913742534261116,0.27,0.49
0.2,100,min,0.0,0.0,0.0,0.0
