trial,seed,sigma_r,operator_a,operator_b,kendall_tau,jaccard_top_k
2,44,0.1,geometric@0.50,geometric@0.90,0.12583586626139817,0.41843971631205673
2,44,0.1,geometric@0.50,min,0.5349862258953167,0.6528925619834711
2,44,0.1,geometric@0.90,min,0.034101382488479264,0.2903225806451613
2,44,0.2,linear@0.10,linear@0.50,0.04607291855614003,0.3422818791946309
2,44,0.2,linear@0.10,linear@0.90,-0.1812206572769953,0.08695652173913043
2,44,0.2,linear@0.10,geometric@0.10,0.7775089923986053,0.8181818181818182
2,44,0.2,linear@0.10,geometric@0.50,0.044363670688436566,0.36054421768707484
2,44,0.2,linear@0.10,geometric@0.90,-0.2439848048722474,0.13636363636363635
2,44,0.2,linear@0.10,min,0.06383972206774535,0.2987012987012987
2,44,0.2,linear@0.50,linear@0.90,0.12775107513281053,0.25
2,44,0.2,linear@0.50,geometric@0.10,0.10997902307461792,0.4084507042253521
2,44,0.2,linear@0.50,geometric@0.50,0.8652794921530594,0.8691588785046729
2,44,0.2,linear@0.50,geometric@0.90,0.251262484569633,0.4925373134328358
2,44,0.2,linear@0.50,min,0.4618172728408948,0.5748031496062992
2,44,0.2,linear@0.90,geometric@0.10,-0.17424727738629084,0.0989010989010989
2,44,0.2,linear@0.90,geometric@0.50,0.0880101034020049,0.21212121212121213
2,44,0.2,linear@0.90,geometric@0.90,0.5396039603960398,0.3986013986013986
2,44,0.2,linear@0.90,min,-0.0030632135895293793,0.14285714285714285
2,44,0.2,geometric@0.10,geometric@0.50,0.11375247627984568,0.43884892086330934
2,44,0.2,geometric@0.10,geometric@0.90,-0.2235294117647059,0.1695906432748538
2,44,0.2,geometric@0.10,min,0.14272030651340994,0.3793103448275862
2,44,0.2,geometric@0.50,geometric@0.90,0.18778021061411737,0.43884892086330934
2,44,0.2,geometric@0.50,min,0.5418732782369146,0.6528925619834711
2,44,0.2,geometric@0.90,min,0.046009062391077035,0.3157894736842105
3,45,0.0,linear@0.10,linear@0.50,0.09361702127659574,0.41843971631205673
3,45,0.0,linear@0.10,linear@0.90,-0.263572267920094,0.08108108108108109
3,45,0.0,linear@0.10,geometric@0.10,0.8610903659447349,0.9230769230769231
3,45,0.0,linear@0.10,geometric@0.50,0.05923484167415842,0.4084507042253521
3,45,0.0,linear@0.10,geometric@0.90,-0.28813559322033905,0.12359550561797752
3,45,0.0,linear@0.10,min,-0.0065359477124183,0.2987012987012987
3,45,0.0,linear@0.50,linear@0.90,-0.020080321285140566,0.20481927710843373
3,45,0.0,linear@0.50,geometric@0.10,0.1514902363823227,0.42857142857142855
3,45,0.0,linear@0.50,geometric@0.50,0.8756534727408514,0.9230769230769231
3,45,0.0,linear@0.50,geometric@0.90,0.12439673003053282,0.3986013986013986
3,45,0.0,linear@0.50,min,0.4569841484893646,0.639344262295082
3,45,0.0,linear@0.90,geometric@0.10,-0.32736354468659373,0.08695652173913043
3,45,0.0,linear@0.90,geometric@0.50,-0.12070096123612481,0.19760479041916168
3,45,0.0,linear@0.90,geometric@0.90,0.2208909688992319,0.3157894736842105
3,45,0.0,linear@0.90,min,-0.14827902339515356,0.14285714285714285
3,45,0.0,geometric@0.10,geometric@0.50,0.11347517730496454,0.41843971631205673
3,45,0.0,geometric@0.10,geometric@0.90,-0.26065742167437084,0.12994350282485875
3,45,0.0,geometric@0.10,min,0.03611971104231167,0.30718954248366015
3,45,0.0,geometric@0.50,geometric@0.90,0.10819735819735819,0.3888888888888889
3,45,0.0,geometric@0.50,min,0.5324929971988794,0.6666666666666666
3,45,0.0,geometric@0.90,min,0.05836644591611479,0.32450331125827814
3,45,0.05,linear@0.10,linear@0.50,0.09167523124357657,0.42857142857142855
3,45,0.05,linear@0.10,linear@0.90,-0.3170702397404314,0.09289617486338798
3,45,0.05,linear@0.10,geometric@0.10,0.8528752800597461,0.9230769230769231
3,45,0.05,linear@0.10,geometric@0.50,0.062431325541903906,0.4084507042253521
3,45,0.05,linear@0.10,geometric@0.90,-0.2639691714836223,0.14942528735632185
3,45,0.05,linear@0.10,min,0.0029708853238265,0.2987012987012987
3,45,0.05,linear@0.50,linear@0.90,-0.08176100628930819,0.21951219512195122
3,45,0.05,linear@0.50,geometric@0.10,0.15011107584893685,0.4492753623188406
3,45,0.05,linear@0.50,geometric@0.50,0.8670329670329668,0.9047619047619048
3,45,0.05,linear@0.50,geometric@0.90,0.1423434222355409,0.4084507042253521
3,45,0.05,linear@0.50,min,0.45367741935483863,0.6
3,45,0.05,linear@0.90,geometric@0.10,-0.3756932727820071,0.09289617486338798
3,45,0.05,linear@0.90,geometric@0.50,-0.17790023852613437,0.20481927710843373
3,45,0.05,linear@0.90,geometric@0.90,0.1576319116884178,0.3422818791946309
3,45,0.05,linear@0.90,min,-0.19345259085535832,0.15606936416184972
3,45,0.05,geometric@0.10,geometric@0.50,0.12146804295693879,0.43884892086330934
3,45,0.05,geometric@0.10,geometric@0.90,-0.24270812570593317,0.14942528735632185
3,45,0.05,geometric@0.10,min,0.0541280353200883,0.32450331125827814
3,45,0.05,geometric@0.50,geometric@0.90,0.1184926184926185,0.3888888888888889
3,45,0.05,geometric@0.50,min,0.5375350140056021,0.6666666666666666
3,45,0.05,geometric@0.90,min,0.06639944231439526,0.3157894736842105
3,45,0.1,linear@0.10,linear@0.50,0.10400822199383351,0.42857142857142855
3,45,0.1,linear@0.10,linear@0.90,-0.32388209581192035,0.07526881720430108
3,45,0.1,linear@0.10,geometric@0.10,0.8360077587727033,0.8691588785046729
3,45,0.1,linear@0.10,geometric@0.50,0.09839456318329556,0.3986013986013986
3,45,0.1,linear@0.10,geometric@0.90,-0.2910556719355044,0.12359550561797752
3,45,0.1,linear@0.10,min,0.044621803011064755,0.3422818791946309
3,45,0.1,linear@0.50,linear@0.90,-0.09620687085475818,0.20481927710843373
3,45,0.1,linear@0.50,geometric@0.10,0.1648776298840704,0.45985401459854014
3,45,0.1,linear@0.50,geometric@0.50,0.8706199460916444,0.8867924528301887
3,45,0.1,linear@0.50,geometric@0.90,0.10766283524904215,0.3793103448275862
3,45,0.1,linear@0.50,min,0.4361290322580645,0.6
3,45,0.1,linear@0.90,geometric@0.10,-0.3675722682702142,0.08108108108108109
3,45,0.1,linear@0.90,geometric@0.50,-0.19826096805332288,0.1834319526627219
3,45,0.1,linear@0.90,geometric@0.90,0.21284382188524198,0.35135135135135137
3,45,0.1,linear@0.90,min,-0.20691300690128864,0.12359550561797752
3,45,0.1,geometric@0.10,geometric@0.50,0.1537512846865365,0.42857142857142855
3,45,0.1,geometric@0.10,geometric@0.90,-0.26999999999999996,0.13636363636363635
3,45,0.1,geometric@0.10,min,0.09362305148795465,0.3698630136986301
3,45,0.1,geometric@0.50,geometric@0.90,0.04118404118404118,0.35135135135135137
3,45,0.1,geometric@0.50,min,0.5148839196695628,0.680672268907563
3,45,0.1,geometric@0.90,min,-0.026257861635220123,0.25
3,45,0.2,linear@0.10,linear@0.50,-0.04429530201342281,0.3333333333333333
3,45,0.2,linear@0.10,linear@0.90,-0.27423756971638785,0.07526881720430108
3,45,0.2,linear@0.10,geometric@0.10,0.7960419014915193,0.9047619047619048
3,45,0.2,linear@0.10,geometric@0.50,-0.034534535746861716,0.32450331125827814
3,45,0.2,linear@0.10,geometric@0.90,-0.3127709954317993,0.14285714285714285
3,45,0.2,linear@0.10,min,-0.02003017160192098,0.2903225806451613
3,45,0.2,linear@0.50,linear@0.90,0.07143427248782823,0.2422360248447205
3,45,0.2,linear@0.50,geometric@0.10,0.026436781609195402,0.3793103448275862
3,45,0.2,linear@0.50,geometric@0.50,0.8388291306647858,0.8691588785046729
3,45,0.2,linear@0.50,geometric@0.90,0.20681265206812652,0.4492753623188406
3,45,0.2,linear@0.50,min,0.4493188351456067,0.5748031496062992
3,45,0.2,linear@0.90,geometric@0.10,-0.2781238483679406,0.08108108108108109
3,45,0.2,linear@0.90,geometric@0.50,-0.022928533256017403,0.20481927710843373
3,45,0.2,linear@0.90,geometric@0.90,0.45972548212313136,0.42857142857142855
3,45,0.2,linear@0.90,min,-0.09727839263247215,0.1111111111111111
3,45,0.2,geometric@0.10,geometric@0.50,0.03675011809163911,0.3698630136986301
3,45,0.2,geometric@0.10,geometric@0.90,-0.28775496644741216,0.14942528735632185
3,45,0.2,geometric@0.10,min,0.055391498881431765,0.3333333333333333
3,45,0.2,geometric@0.50,geometric@0.90,0.1157726500849066,0.4084507042253521
3,45,0.2,geometric@0.50,min,0.5495867768595041,0.6528925619834711
3,45,0.2,geometric@0.90,min,-0.005401918890590986,0.26582278481012656
4,46,0.0,linear@0.10,linear@0.50,0.044832214765100666,0.3333333333333333
4,46,0.0,linear@0.10,linear@0.90,-0.3040639423618147,0.0582010582010582
4,46,0.0,linear@0.10,geometric@0.10,0.7808930425752855,0.8518518518518519
4,46,0.0,linear@0.10,geometric@0.50,0.023713646532438477,0.3333333333333333
4,46,0.0,linear@0.10,geometric@0.90,-0.29359487081825686,0.12359550561797752
4,46,0.0,linear@0.10,min,-0.014091234774301409,0.2578616352201258
4,46,0.0,linear@0.50,linear@0.90,-0.05627508899492539,0.22699386503067484
4,46,0.0,linear@0.50,geometric@0.10,0.12775946458895215,0.4084507042253521
4,46,0.0,linear@0.50,geometric@0.50,0.905197030268418,0.941747572815534
4,46,0.0,linear@0.50,geometric@0.90,0.12768433301597376,0.4492753623188406
4,46,0.0,linear@0.50,min,0.4775910364145658,0.6666666666666666
4,46,0.0,linear@0.90,geometric@0.10,-0.3617827950208364,0.08108108108108109
4,46,0.0,linear@0.90,geometric@0.50,-0.15237578930834456,0.20481927710843373
