trial,seed,sigma_r,config_id,operator,lambda,policy_violation_rate,kendall_tau,jaccard_top_k
7,49,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
7,49,0.0,linear@0.90,linear,0.9,0.46,1.0,1.0
7,49,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
7,49,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
7,49,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
7,49,0.0,min,min,,0.0,1.0,1.0
7,49,0.05,linear@0.10,linear,0.1,0.0,0.9339933993399339,0.9607843137254902
7,49,0.05,linear@0.50,linear,0.5,0.0,0.6124488124488124,0.8018018018018018
7,49,0.05,linear@0.90,linear,0.9,0.46,0.28549042606381225,0.680672268907563
7,49,0.05,geometric@0.10,geometric,0.1,0.0,0.8629354654483153,0.941747572815534
7,49,0.05,geometric@0.50,geometric,0.5,0.0,0.6376980817347788,0.8181818181818182
7,49,0.05,geometric@0.90,geometric,0.9,0.0,0.5303491235694626,0.6949152542372882
7,49,0.05,min,min,,0.0,0.6860505365178262,0.8518518518518519
7,49,0.1,linear@0.10,linear,0.1,0.0,0.8648244958924571,0.9230769230769231
7,49,0.1,linear@0.50,linear,0.5,0.0,0.43763581051716655,0.6949152542372882
7,49,0.1,linear@0.90,linear,0.9,0.49,-0.0009641549286532225,0.3793103448275862
7,49,0.1,geometric@0.10,geometric,0.1,0.0,0.6971270335756317,0.8518518518518519
7,49,0.1,geometric@0.50,geometric,0.5,0.0,0.4550545240200412,0.7094017094017094
7,49,0.1,geometric@0.90,geometric,0.9,0.0,0.24157369348209046,0.5267175572519084
7,49,0.1,min,min,,0.0,0.40991609458428685,0.7391304347826086
7,49,0.2,linear@0.10,linear,0.1,0.0,0.7397284429553871,0.8691588785046729
7,49,0.2,linear@0.50,linear,0.5,0.0,0.14354066985645933,0.5037593984962406
7,49,0.2,linear@0.90,linear,0.9,0.41,-0.24665023967325014,0.21951219512195122
7,49,0.2,geometric@0.10,geometric,0.1,0.0,0.5140150772264896,0.7543859649122807
7,49,0.2,geometric@0.50,geometric,0.5,0.0,0.18047480620155038,0.5503875968992248
7,49,0.2,geometric@0.90,geometric,0.9,0.0,-0.0739463601532567,0.3793103448275862
7,49,0.2,min,min,,0.0,0.1547536433032616,0.5151515151515151
8,50,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
8,50,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
8,50,0.0,linear@0.90,linear,0.9,0.49,1.0,1.0
8,50,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
8,50,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
8,50,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
8,50,0.0,min,min,,0.0,1.0,1.0
8,50,0.05,linear@0.10,linear,0.1,0.0,0.9279207920792082,0.9801980198019802
8,50,0.05,linear@0.50,linear,0.5,0.0,0.6623853211009173,0.8181818181818182
8,50,0.05,linear@0.90,linear,0.9,0.5,0.2881431421924782,0.5625
8,50,0.05,geometric@0.10,geometric,0.1,0.0,0.8783283371539411,0.8691588785046729
8,50,0.05,geometric@0.50,geometric,0.5,0.0,0.6673894912427022,0.8181818181818182
8,50,0.05,geometric@0.90,geometric,0.9,0.0,0.5121875485173111,0.7543859649122807
8,50,0.05,min,min,,0.0,0.7423180592991915,0.8867924528301887
8,50,0.1,linear@0.10,linear,0.1,0.0,0.8868558625840179,0.9230769230769231
8,50,0.1,linear@0.50,linear,0.5,0.0,0.44574822540924247,0.6949152542372882
8,50,0.1,linear@0.90,linear,0.9,0.5,0.0012592196757327634,0.3793103448275862
8,50,0.1,geometric@0.10,geometric,0.1,0.0,0.8049726679597955,0.8691588785046729
8,50,0.1,geometric@0.50,geometric,0.5,0.0,0.44252955419455925,0.680672268907563
8,50,0.1,geometric@0.90,geometric,0.9,0.0,0.2224209898628503,0.5384615384615384
8,50,0.1,min,min,,0.0,0.5344804227069503,0.639344262295082
8,50,0.2,linear@0.10,linear,0.1,0.0,0.8216117216117215,0.9047619047619048
8,50,0.2,linear@0.50,linear,0.5,0.0,0.24629756208703582,0.5037593984962406
8,50,0.2,linear@0.90,linear,0.9,0.46,-0.23356930717430238,0.2422360248447205
8,50,0.2,geometric@0.10,geometric,0.1,0.0,0.6667720289485747,0.7699115044247787
8,50,0.2,geometric@0.50,geometric,0.5,0.0,0.228753702437913,0.5037593984962406
8,50,0.2,geometric@0.90,geometric,0.9,0.0,-0.052058770179575546,0.3422818791946309
8,50,0.2,min,min,,0.0,0.17140874392782787,0.5151515151515151
9,51,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
9,51,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
9,51,0.0,linear@0.90,linear,0.9,0.41,1.0,1.0
9,51,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
9,51,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
9,51,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
9,51,0.0,min,min,,0.0,1.0,1.0
9,51,0.05,linear@0.10,linear,0.1,0.0,0.9328285769753445,0.9607843137254902
9,51,0.05,linear@0.50,linear,0.5,0.0,0.6773978315262718,0.8181818181818182
9,51,0.05,linear@0.90,linear,0.9,0.37,0.3147125675303696,0.5873015873015873
9,51,0.05,geometric@0.10,geometric,0.1,0.0,0.9002474776318296,0.941747572815534
9,51,0.05,geometric@0.50,geometric,0.5,0.0,0.6986076986076986,0.8018018018018018
9,51,0.05,geometric@0.90,geometric,0.9,0.0,0.4955816311748516,0.6949152542372882
9,51,0.05,min,min,,0.0,0.6700645599728169,0.8348623853211009
9,51,0.1,linear@0.10,linear,0.1,0.0,0.861172161172161,0.9047619047619048
9,51,0.1,linear@0.50,linear,0.5,0.0,0.4388429752066116,0.6528925619834711
9,51,0.1,linear@0.90,linear,0.9,0.47,0.05316753346214229,0.47058823529411764
9,51,0.1,geometric@0.10,geometric,0.1,0.0,0.7778975741239893,0.8867924528301887
9,51,0.1,geometric@0.50,geometric,0.5,0.0,0.4579831932773109,0.6666666666666666
9,51,0.1,geometric@0.90,geometric,0.9,0.0,0.2812698412698413,0.5873015873015873
9,51,0.1,min,min,,0.0,0.43628185907046474,0.7241379310344828
9,51,0.2,linear@0.10,linear,0.1,0.0,0.7840083073727933,0.8518518518518519
9,51,0.2,linear@0.50,linear,0.5,0.0,0.1800995024875622,0.48148148148148145
9,51,0.2,linear@0.90,linear,0.9,0.36,-0.18865694532770544,0.27388535031847133
9,51,0.2,geometric@0.10,geometric,0.1,0.0,0.6750321750321749,0.7857142857142857
9,51,0.2,geometric@0.50,geometric,0.5,0.0,0.18261890780974752,0.5267175572519084
9,51,0.2,geometric@0.90,geometric,0.9,0.0,-0.025835275835275836,0.3888888888888889
9,51,0.2,min,min,,0.0,0.2122137404580153,0.5267175572519084
10,52,0.0,linear@0.10,linear,0.1,0.0,1.0,1.0
10,52,0.0,linear@0.50,linear,0.5,0.0,1.0,1.0
10,52,0.0,linear@0.90,linear,0.9,0.47,1.0,1.0
10,52,0.0,geometric@0.10,geometric,0.1,0.0,1.0,1.0
10,52,0.0,geometric@0.50,geometric,0.5,0.0,1.0,1.0
10,52,0.0,geometric@0.90,geometric,0.9,0.0,1.0,1.0
10,52,0.0,min,min,,0.0,1.0,1.0
10,52,0.05,linear@0.10,linear,0.1,0.0,0.9316637546107551,0.9607843137254902
10,52,0.05,linear@0.50,linear,0.5,0.0,0.7102803738317757,0.8518518518518519
10,52,0.05,linear@0.90,linear,0.9,0.47,0.327449029541223,0.639344262295082
10,52,0.05,geometric@0.10,geometric,0.1,0.0,0.8930135160860462,0.941747572815534
10,52,0.05,geometric@0.50,geometric,0.5,0.0,0.7335651074589127,0.7699115044247787
10,52,0.05,geometric@0.90,geometric,0.9,0.0,0.5863996273870518,0.7543859649122807
10,52,0.05,min,min,,0.0,0.7287956268735672,0.8691588785046729
10,52,0.1,linear@0.10,linear,0.1,0.0,0.8469006721433906,0.9230769230769231
10,52,0.1,linear@0.50,linear,0.5,0.0,0.4633243127759579,0.680672268907563
10,52,0.1,linear@0.90,linear,0.9,0.4,-0.03446017491105823,0.4925373134328358
10,52,0.1,geometric@0.10,geometric,0.1,0.0,0.7681940700808626,0.8867924528301887
10,52,0.1,geometric@0.50,geometric,0.5,0.0,0.46528925619834705,0.6528925619834711
10,52,0.1,geometric@0.90,geometric,0.9,0.0,0.21039248203427308,0.48148148148148145
10,52,0.1,min,min,,0.0,0.44848484848484843,0.6528925619834711
10,52,0.2,linear@0.10,linear,0.1,0.0,0.7580699966021068,0.8348623853211009
10,52,0.2,linear@0.50,linear,0.5,0.0,0.26540781536847624,0.6129032258064516
10,52,0.2,linear@0.90,linear,0.9,0.47,-0.15899553162818125,0.30718954248366015
10,52,0.2,geometric@0.10,geometric,0.1,0.0,0.6036036036036035,0.8018018018018018
