trial,seed,sigma_r,top_k,config_id,operator,lambda,policy_violation_rate
1,43,0.05,60,linear@0.50,linear,0.5,0.0
1,43,0.05,70,linear@0.50,linear,0.5,0.0
1,43,0.05,80,linear@0.50,linear,0.5,0.0
1,43,0.05,90,linear@0.50,linear,0.5,0.0
1,43,0.05,100,linear@0.50,linear,0.5,0.0
1,43,0.05,10,linear@0.90,linear,0.9,0.0
1,43,0.05,20,linear@0.90,linear,0.9,0.25
1,43,0.05,30,linear@0.90,linear,0.9,0.26666666666666666
1,43,0.05,40,linear@0.90,linear,0.9,0.3
1,43,0.05,50,linear@0.90,linear,0.9,0.28
1,43,0.05,60,linear@0.90,linear,0.9,0.31666666666666665
1,43,0.05,70,linear@0.90,linear,0.9,0.34285714285714286
1,43,0.05,80,linear@0.90,linear,0.9,0.3625
1,43,0.05,90,linear@0.90,linear,0.9,0.35555555555555557
1,43,0.05,100,linear@0.90,linear,0.9,0.39
1,43,0.05,10,geometric@0.10,geometric,0.1,0.0
1,43,0.05,20,geometric@0.10,geometric,0.1,0.0
1,43,0.05,30,geometric@0.10,geometric,0.1,0.0
1,43,0.05,40,geometric@0.10,geometric,0.1,0.0
1,43,0.05,50,geometric@0.10,geometric,0.1,0.0
1,43,0.05,60,geometric@0.10,geometric,0.1,0.0
1,43,0.05,70,geometric@0.10,geometric,0.1,0.0
1,43,0.05,80,geometric@0.10,geometric,0.1,0.0
1,43,0.05,90,geometric@0.10,geometric,0.1,0.0
1,43,0.05,100,geometric@0.10,geometric,0.1,0.0
1,43,0.05,10,geometric@0.50,geometric,0.5,0.0
1,43,0.05,20,geometric@0.50,geometric,0.5,0.0
1,43,0.05,30,geometric@0.50,geometric,0.5,0.0
1,43,0.05,40,geometric@0.50,geometric,0.5,0.0
1,43,0.05,50,geometric@0.50,geometric,0.5,0.0
1,43,0.05,60,geometric@0.50,geometric,0.5,0.0
1,43,0.05,70,geometric@0.50,geometric,0.5,0.0
1,43,0.05,80,geometric@0.50,geometric,0.5,0.0
1,43,0.05,90,geometric@0.50,geometric,0.5,0.0
1,43,0.05,100,geometric@0.50,geometric,0.5,0.0
1,43,0.05,10,geometric@0.90,geometric,0.9,0.0
1,43,0.05,20,geometric@0.90,geometric,0.9,0.0
1,43,0.05,30,geometric@0.90,geometric,0.9,0.0
1,43,0.05,40,geometric@0.90,geometric,0.9,0.0
1,43,0.05,50,geometric@0.90,geometric,0.9,0.0
1,43,0.05,60,geometric@0.90,geometric,0.9,0.0
1,43,0.05,70,geometric@0.90,geometric,0.9,0.0
1,43,0.05,80,geometric@0.90,geometric,0.9,0.0
1,43,0.05,90,geometric@0.90,geometric,0.9,0.0
1,43,0.05,100,geometric@0.90,geometric,0.9,0.0
1,43,0.05,10,min,min,,0.0
1,43,0.05,20,min,min,,0.0
1,43,0.05,30,min,min,,0.0
1,43,0.05,40,min,min,,0.0
1,43,0.05,50,min,min,,0.0
1,43,0.05,60,min,min,,0.0
1,43,0.05,70,min,min,,0.0
1,43,0.05,80,min,min,,0.0
1,43,0.05,90,min,min,,0.0
1,43,0.05,100,min,min,,0.0
1,43,0.1,10,linear@0.10,linear,0.1,0.0
1,43,0.1,20,linear@0.10,linear,0.1,0.0
1,43,0.1,30,linear@0.10,linear,0.1,0.0
1,43,0.1,40,linear@0.10,linear,0.1,0.0
1,43,0.1,50,linear@0.10,linear,0.1,0.0
1,43,0.1,60,linear@0.10,linear,0.1,0.0
1,43,0.1,70,linear@0.10,linear,0.1,0.0
1,43,0.1,80,linear@0.10,linear,0.1,0.0
1,43,0.1,90,linear@0.10,linear,0.1,0.0
1,43,0.1,100,linear@0.10,linear,0.1,0.0
1,43,0.1,10,linear@0.50,linear,0.5,0.0
1,43,0.1,20,linear@0.50,linear,0.5,0.0
1,43,0.1,30,linear@0.50,linear,0.5,0.0
1,43,0.1,40,linear@0.50,linear,0.5,0.0
1,43,0.1,50,linear@0.50,linear,0.5,0.0
1,43,0.1,60,linear@0.50,linear,0.5,0.0
1,43,0.1,70,linear@0.50,linear,0.5,0.0
1,43,0.1,80,linear@0.50,linear,0.5,0.0
1,43,0.1,90,linear@0.50,linear,0.5,0.0
1,43,0.1,100,linear@0.50,linear,0.5,0.0
1,43,0.1,10,linear@0.90,linear,0.9,0.0
1,43,0.1,20,linear@0.90,linear,0.9,0.0
1,43,0.1,30,linear@0.90,linear,0.9,0.0
1,43,0.1,40,linear@0.90,linear,0.9,0.125
1,43,0.1,50,linear@0.90,linear,0.9,0.28
1,43,0.1,60,linear@0.90,linear,0.9,0.35
1,43,0.1,70,linear@0.90,linear,0.9,0.35714285714285715
1,43,0.1,80,linear@0.90,linear,0.9,0.3625
1,43,0.1,90,linear@0.90,linear,0.9,0.36666666666666664
1,43,0.1,100,linear@0.90,linear,0.9,0.39
1,43,0.1,10,geometric@0.10,geometric,0.1,0.0
1,43,0.1,20,geometric@0.10,geometric,0.1,0.0
1,43,0.1,30,geometric@0.10,geometric,0.1,0.0
1,43,0.1,40,geometric@0.10,geometric,0.1,0.0
1,43,0.1,50,geometric@0.10,geometric,0.1,0.0
1,43,0.1,60,geometric@0.10,geometric,0.1,0.0
1,43,0.1,70,geometric@0.10,geometric,0.1,0.0
1,43,0.1,80,geometric@0.10,geometric,0.1,0.0
1,43,0.1,90,geometric@0.10,geometric,0.1,0.0
1,43,0.1,100,geometric@0.10,geometric,0.1,0.0
1,43,0.1,10,geometric@0.50,geometric,0.5,0.0
1,43,0.1,20,geometric@0.50,geometric,0.5,0.0
1,43,0.1,30,geometric@0.50,geometric,0.5,0.0
1,43,0.1,40,geometric@0.50,geometric,0.5,0.0
1,43,0.1,50,geometric@0.50,geometric,0.5,0.0
1,43,0.1,60,geometric@0.50,geometric,0.5,0.0
1,43,0.1,70,geometric@0.50,geometric,0.5,0.0
1,43,0.1,80,geometric@0.50,geometric,0.5,0.0
1,43,0.1,90,geometric@0.50,geometric,0.5,0.0
1,43,0.1,100,geometric@0.50,geometric,0.5,0.0
1,43,0.1,10,geometric@0.90,geometric,0.9,0.0
1,43,0.1,20,geometric@0.90,geometric,0.9,0.0
1,43,0.1,30,geometric@0.90,geometric,0.9,0.0
1,43,0.1,40,geometric@0.90,geometric,0.9,0.0
1,43,0.1,50,geometric@0.90,geometric,0.9,0.0
1,43,0.1,60,geometric@0.90,geometric,0.9,0.0
1,43,0.1,70,geometric@0.90,geometric,0.9,0.0
1,43,0.1,80,geometric@0.90,geometric,0.9,0.0
1,43,0.1,90,geometric@0.90,geometric,0.9,0.0
1,43,0.1,100,geometric@0.90,geometric,0.9,0.0
1,43,0.1,10,min,min,,0.0
1,43,0.1,20,min,min,,0.0
1,43,0.1,30,min,min,,0.0
1,43,0.1,40,min,min,,0.0
1,43,0.1,50,min,min,,0.0
1,43,0.1,60,min,min,,0.0
1,43,0.1,70,min,min,,0.0
1,43,0.1,80,min,min,,0.0
1,43,0.1,90,min,min,,0.0
1,43,0.1,100,min,min,,0.0
1,43,0.2,10,linear@0.10,linear,0.1,0.0
1,43,0.2,20,linear@0.10,linear,0.1,0.0
1,43,0.2,30,linear@0.10,linear,0.1,0.0
1,43,0.2,40,linear@0.10,linear,0.1,0.0
1,43,0.2,50,linear@0.10,linear,0.1,0.0
1,43,0.2,60,linear@0.10,linear,0.1,0.0
1,43,0.2,70,linear@0.10,linear,0.1,0.0
